date,Country,new_cases,new_deaths,total_cases,total_deaths
2020-01-21,World,0,0,282,6
2020-01-22,World,32,0,314,6
2020-01-23,World,266,11,581,17
2020-01-24,World,262,8,846,25
2020-01-25,World,467,16,1320,41
2020-01-26,World,691,15,2014,56
2020-01-27,World,783,24,2798,80
2020-01-28,World,1792,26,4593,106
2020-01-29,World,1468,26,6065,132
2020-01-30,World,1750,38,7818,170
2020-01-31,World,2006,43,9826,213
2020-02-01,World,2121,46,11953,259
2020-02-02,World,2604,45,14557,305
2020-02-03,World,2834,57,17391,362
2020-02-04,World,3239,64,20630,426
2020-02-05,World,3913,66,24544,492
2020-02-06,World,3712,73,28276,565
2020-02-07,World,3205,73,31481,638
2020-02-08,World,3405,86,34886,724
2020-02-09,World,2672,89,37558,813
2020-02-10,World,2996,97,40554,910
2020-02-11,World,2549,108,43103,1018
2020-02-12,World,2068,97,45171,1115
2020-02-13,World,1826,254,46997,1369
2020-02-14,World,2056,13,49053,1383
2020-02-15,World,1526,143,50580,1526
2020-02-16,World,1277,142,51857,1669
2020-02-17,World,19572,106,71429,1775
2020-02-18,World,1903,98,73332,1873
2020-02-19,World,1872,136,75204,2009
2020-02-20,World,542,115,75748,2129
2020-02-21,World,1021,118,76769,2247
2020-02-22,World,1023,112,77794,2359
2020-02-23,World,1017,102,78811,2463
2020-02-24,World,517,155,79331,2618
2020-02-25,World,896,82,80239,2700
2020-02-26,World,864,62,81109,2762
2020-02-27,World,1175,42,82294,2804
2020-02-28,World,1353,54,83652,2858
2020-02-29,World,1748,66,85403,2924
2020-03-01,World,1727,53,87137,2977
2020-03-02,World,1801,64,88948,3043
2020-03-03,World,1912,67,90869,3112
2020-03-04,World,2217,86,93090,3198
2020-03-05,World,2220,79,95324,3280
2020-03-06,World,2864,99,98192,3380
2020-03-07,World,3730,104,101927,3486
2020-03-08,World,3644,96,105592,3584
2020-03-09,World,3979,224,109577,3809
2020-03-10,World,4119,201,113702,4012
2020-03-11,World,4611,275,118319,4292
2020-03-12,World,6936,317,125260,4613
2020-03-13,World,7488,338,132758,4956
2020-03-14,World,9766,434,142539,5393
2020-03-15,World,10968,343,153523,5736
